,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
memory,0.3155071728004007,0.15346253148179248,0.2916022048194371,0.3017847608755382,0.2858472039036862,0.37023294556391506,0.4041778329109829,0.3362557284573211,0.3890643581552607,0.2750974851782569
gastronomic,0.29833707425818345,0.2260119002569498,0.24281625032843346,0.2492192241873032,0.2221500886570981,0.24408767562855688,0.23461313115177465,0.22038056844206552,0.17774190141423152,0.30500595920257156
manicure,0.22472999335327795,0.13389047163978224,0.202192428369673,0.20480819248630666,0.32585933554199614,0.3370795560038552,0.37311415170410406,0.2729159149640003,0.34290199051405146,0.2523074793106872
pointless,0.34278677628437826,0.32523014649311205,0.19756898181584875,0.2785197960842717,0.24035956553382148,0.45675097919162305,0.45304695966525727,0.3583213094143067,0.46184083547734184,0.45131277625314653
frangria,0.34290820578436404,0.3396957841238834,0.14559462417006416,0.23798656772765858,0.36706042366401753,0.47990100253067425,0.4701945330258409,0.36674552658765475,0.48354759083110754,0.34854608518952135
freshness,0.39928569041276296,0.205611668692965,0.4207860725510178,0.33033822880109476,0.26236045473186576,0.2852564061263486,0.3644769475049833,0.2591235794043076,0.33238963075515293,0.29317640632333924
meager,0.366612507369838,0.2636099025322641,0.27077529695819685,0.2832097395325872,0.37771085874257343,0.4655432501382904,0.6441239332616225,0.3897785191792576,0.5920897419144787,0.4314432911376349
zip,0.324996814175158,0.310983774333019,0.2605930058540259,0.3186423185650368,0.24669302100016996,0.37345951569639385,0.41287296899032533,0.36058283298621735,0.4791823594912429,0.3602806751529776
chewiness,0.34967919679714243,0.23575322538388432,0.24782840032062384,0.31468422559358783,0.2867735779488374,0.4430361337965277,0.507625656485206,0.43525302282969364,0.439459329830221,0.3420119554690343
minimum_wage,0.31334732209236826,0.34946708020692663,0.34231666767099717,0.4585354325458879,0.2798099022376976,0.399607037534286,0.3742477394055761,0.24687371480177364,0.43138932591686807,0.4760484260895106
krispie,0.2282558681303615,0.21134740689544929,0.18635741839511008,0.1251731318179632,0.29314702480897553,0.28887700458021237,0.35360863669238407,0.2904372995446073,0.3110101039907184,0.3291696558901258
cub,0.28799728631716015,0.38547041991831,0.15911059251890675,0.19943794124206263,0.261866023661034,0.4968614610088908,0.48308627486379097,0.44885962247460587,0.49891846767393977,0.41077877662781487
international,0.32991600846314584,0.2386743899551008,0.22114684573511484,0.32498582258379016,0.3083197226733837,0.42263812392328626,0.3616693457727624,0.19698399958727217,0.3393777941349211,0.38376173697136506
dissapointe,0.3424536268419255,0.20355960668703368,0.211091086206237,0.28889451838194324,0.3331421609255746,0.5352604254000733,0.5548881905218851,0.38539435099873887,0.5005075820308944,0.3459305047311687
hardcore,0.34343992382633576,0.38136686794269103,0.31170743618021785,0.2629691328806439,0.301387603094314,0.5027587502237141,0.45411340698361274,0.3782441217553951,0.5186692550323834,0.47052606212114373
commonly,0.4102257335936412,0.31128885473977586,0.3111387155197667,0.4150697819510817,0.334572394494577,0.5933516351789677,0.6576206950193141,0.4660061793110698,0.5209481281633811,0.43677877417296773
pizza_pizza,0.32595375719581604,0.3971153549077639,0.4202750083315963,0.4904712210675508,0.3090012363963472,0.32291889707700183,0.303723889301437,0.28685268811042236,0.3109490554716915,0.5220516508007274
creamsicle,0.32011262252106293,0.28741040632954157,0.2221228133671923,0.2160636069868858,0.48390746899626375,0.37887657104837563,0.3881403219456256,0.32211975531140863,0.3722411459075321,0.3704309723924324
hostess,0.30447582745638385,0.2770527246660973,0.2526857273525119,0.32998693244535915,0.4905593683592383,0.3719082580000557,0.33107804551624564,0.29895844165171803,0.35484351715570084,0.2559705465302023
uninvited,0.2465632614531061,0.17139904528910907,0.205288726659465,0.22595752773850913,0.18413586244295443,0.33267996304696923,0.3143789909756284,0.24127964012306932,0.332120983115662,0.32398214598991204
wolfgang,0.3104595695808704,0.3907137379090209,0.2848679502041715,0.23719049505120124,0.305768481480169,0.4717579417910914,0.42820201102204414,0.2863590823454561,0.4161734632435207,0.3617208938363565
mcdonalds,0.25703107203727266,0.48742365420819006,0.21646038568422737,0.3036939867156941,0.20109844736802354,0.3066659306733706,0.28197659903969585,0.28300135164880613,0.34506813607327314,0.3432423464691549
zuppa,0.37795639453280144,0.26518558898389105,0.2033200249206416,0.2390168000759758,0.3568591975246724,0.720935604223592,0.667267856283948,0.42531575880663564,0.575030574948251,0.35622362442373345
abruptly,0.30146556598896135,0.1637217340339688,0.24124626699690163,0.301963475838909,0.29677136688268735,0.41756818912918575,0.383385511684466,0.2965972999455583,0.4233062402309997,0.3414761467575545
hotspot,0.330826173982797,0.27351665597342967,0.2632487681741166,0.290674097386771,0.3316159068760564,0.376179250089093,0.3740125913142004,0.25180837328705796,0.36595493554134195,0.33122057317840436
patio,0.31285399972641276,0.28234990670051374,0.15296069051062913,0.17477920918803436,0.32248468759241466,0.2567851305274776,0.2529037263960968,0.2332102796377093,0.2671531237237735,0.16747024093967994
crow,0.39985523974054293,0.31905348671580275,0.31922776762349586,0.32676223802807514,0.35515666974538396,0.6638790288108048,0.7051055318367042,0.47538113663908893,0.7558519379256005,0.47644967112335135
jojo,0.3491154015549495,0.3019527055863742,0.2594841702752651,0.25574760798276275,0.36751443293376923,0.6504681792213448,0.6461116871729884,0.42655318815636667,0.6809537365073502,0.3509730663018567
blame,0.26094234728507804,0.16904801607506512,0.16050179069749154,0.24262148097734348,0.25723505480451114,0.37083069817432773,0.32520169194510784,0.26584854929243407,0.36789501133591035,0.21553656815255756
tmi,0.36641203191478006,0.30574950936101364,0.2204352462935437,0.26649078824704237,0.3150599707628372,0.699773514270423,0.5881714701671242,0.45455283368072197,0.7809552392033354,0.3593695747357467
buster,0.3561266594046896,0.3350100637307137,0.2686963158217256,0.2633440356232656,0.32720550892919553,0.4747268923182483,0.5105791472157765,0.38278571899749264,0.5929983707943082,0.44658926487779543
excellently,0.3575757254840025,0.21078438324773788,0.24009016437531022,0.22760751029212947,0.32442938963428025,0.3240416270251968,0.405267018610082,0.2801110824901429,0.3493870759046555,0.2476508128000411
ceo,0.384622940476177,0.26026798557126185,0.17947071731760125,0.25838531189853237,0.36444645193572367,0.44196063802398544,0.36803963790888633,0.3287776274727545,0.43842670823579527,0.3541909587238513
douchebag,0.2602553219533475,0.2736013945420316,0.20637706524514485,0.3101631511238368,0.2414458379519525,0.480414463024732,0.5259814463593948,0.32555998173126327,0.44028879916676095,0.31996758764632083
shrivel,0.27980384904539335,0.2749706724836242,0.23427426583468064,0.2445542940232315,0.301102479470081,0.4802826492709848,0.5308556234099319,0.4352756306741038,0.406127740194502,0.33116010139705643
