_vocab,accounting,pharmacy,baseball,robotics
wall,0.2917919035765611,0.19872382201584277,0.07780102440926577,0.030185431805652946
dwindling,0.14381762024325392,0.2160578424067137,0.18292747088769065,-0.02223326900586114
band,0.1801065240683956,0.009009274932255016,0.23068988645029548,0.031124108775135776
seeing,0.01597388632755091,0.28886913023579286,0.10793527556462713,0.22980504381446604
green,0.03372658275933716,0.09462815126775884,0.24190923482557553,0.07809803072151787
private,0.19901611301403554,0.2595913684867412,0.12629765052723824,0.1768891218733468
investment,0.4060636885264697,0.22913636896126016,0.13257618654076173,0.1385291060398002
firm,0.42385701429806316,0.176301081452554,0.01241920853401615,0.14009432502331792
carlyle,0.5101607137958306,0.2658212012872219,0.1668606780373661,0.11648387720985036
reputation,0.21552115750366319,0.1377285780946691,0.15498701336102289,0.05423367546423142
making,0.2775111446491493,0.03892277467079489,0.22812642177993375,0.19065897225312897
occasionally,-0.06785661475548502,0.034835765762518074,0.12529462658718357,0.15675434976917785
controversial,0.1359709494154517,0.1898472096926818,0.13720468253822207,0.07437823833611133
plays,0.014605232430686848,0.16390534970526938,0.3355203416976207,0.2097038876433302
defense,0.26450668881595824,0.1170708919862478,0.14148895327673794,0.21036937472868278
quietly,0.1476438314860537,0.0517684739755977,0.09746404121429098,0.09342030892556635
placed,0.07067975671971337,0.1862770945258986,0.1496304801531744,0.14994693947967275
bets,0.3239721951799944,0.0868668474548159,0.1800568707565698,-0.014074338320158494
another,0.17588233030225744,-0.009047254415163622,0.2035743581552118,-0.027952407870109282
part,0.4491111329733344,0.06897951693747817,0.16342832297177792,0.030334527562010855
soaring,0.251540478773514,0.03595320231775406,0.1711666389423425,0.11062468959424486
crude,0.2291190068246557,0.08963609321158982,0.2207704944925934,0.16859025907138567
prices,0.2547462113011364,0.05817961895508911,0.16447546298815952,0.14561658334826735
plus,0.20097680601140386,0.0513320905395311,0.08512131805559779,0.12524159536358798
worries,0.1655652530830903,0.07317606037592882,0.16056995891895592,0.13991728428334255
economy,0.2551998820124532,0.1326744933377688,0.12856020866170603,0.1566439169342484
outlook,0.261301641400843,0.1461013129333861,0.04030568554275845,0.18813352251905047
earnings,0.4697407414643068,0.19347383658948214,0.0491225043922495,0.2560114341832384
expected,0.21833471426645035,0.11307852511041494,0.14191637996144887,0.054383957049560366
hang,0.10487319589795846,0.07196153939472348,0.06837272803684748,0.11960262475276841
stock,0.4145213591767674,0.14785477010529022,0.12613687154381245,0.04093968072634024
market,0.2804127900342892,0.14457753129731482,0.03232674319156585,0.12974565829792475
next,0.1885570322632067,-0.0688510688146884,0.16164191423575272,0.22043746556850785
