,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
hostess,0.19970696883489944,0.28861033396766794,0.3380525201328721,0.3216933161692031,0.34657887887863564,0.3801583614249996,0.2820649252946628,0.27583309468714573,0.3352248549428996,0.2898231673415934
uninvited,0.25334675344543195,0.17353338315344932,0.3279769813878752,0.3609213667427577,0.25772371877636885,0.3757819124716843,0.33163626429876314,0.2448483163133784,0.4491383284934337,0.3743733319068291
wolfgang,0.2635781170647996,0.3965748501100186,0.3081101299213414,0.25207757813992027,0.3078969086845345,0.5426101582428886,0.3483026876557755,0.1605558988937673,0.34938140330564416,0.3634584923437734
mcdonalds,0.20264898503406356,0.5016006866171515,0.28379499018225657,0.3207918655113056,0.20162398108286703,0.2534526084877866,0.21122228883354446,0.22722195233911865,0.44294376473241104,0.339368067968597
zuppa,0.5256743543114659,0.23766464340419244,0.229407912450451,0.2810712793024428,0.34553700067353915,0.4988397008923202,0.38061609786092243,0.3922696633653201,0.2641883323475071,0.34807448561393234
abruptly,0.2274748896525251,0.24082410376715882,0.35458580497083864,0.33364496913148617,0.329284765149915,0.3872604318195696,0.31425341991170874,0.1961008356669469,0.43860752025279026,0.2827917667759512
hotspot,0.38986809719165805,0.28094929427502874,0.35103844522411753,0.249992966231412,0.3343425948940138,0.3047225516486444,0.298934517902935,0.16500513861623478,0.31417624119674714,0.46100952529572914
patio,0.2765048366169891,0.28690637483374754,0.23643385286766833,0.22670584413736014,0.3363086562164539,0.2615093421551587,0.26253139144525667,0.18415923185693747,0.292838883068375,0.2658094678192324
crow,0.4010166816121133,0.2488053888277672,0.4241668485072369,0.3896520973456969,0.28769554545797227,0.3270466254468736,0.38341159624419285,0.34825979978495364,0.48394898657944124,0.491295001788596
jojo,0.28832040889165217,0.33677497747376123,0.4202945690036953,0.21627126373961264,0.33585226741370566,0.39119149813348564,0.3685249368420295,0.3915933458148214,0.4656946264132986,0.2762843462123918
blame,0.2665060407444076,0.27529266382313655,0.21742153473899037,0.26194106665159006,0.27872313234889773,0.3652981827946414,0.26427401086877556,0.18962561845696801,0.39487441284967123,0.18716405152287768
tmi,0.3268363848290274,0.2914946170975388,0.28778133822978114,0.2873946309814912,0.20943613898356886,0.41213854001946104,0.2493684253773722,0.44134739455667826,0.6249294059776807,0.26326990949546436
buster,0.3207152465825902,0.2743156474002604,0.2769077982649026,0.1811221668311161,0.35794339294275124,0.2800361756138452,0.35563101881765585,0.3079932608193141,0.5787791716264284,0.34133072277282
excellently,0.4051145734690297,0.2707782122926045,0.1987133781269292,0.2502030431077454,0.323183976826818,0.21276097841238192,0.5545750266095846,0.4130560329472522,0.30193720399837193,0.4025808718892655
ceo,0.2999177659292584,0.3326549100713729,0.15132527008452257,0.15313827941023875,0.31092134603381094,0.5046078555343871,0.2714086370814548,0.2729371662765456,0.5120591277025391,0.3223931820130862
douchebag,0.31460059946897073,0.3291832166632442,0.30317389884813206,0.3278559867766116,0.26378868875032474,0.4166890944686062,0.6210327024325406,0.27818715496923463,0.3088403429579924,0.3726750142450734
shrivel,0.288040277344727,0.3429018068355265,0.27960062568841976,0.24935979354017312,0.3176654266319601,0.29883405061394325,0.39507277259748896,0.4505342185019631,0.18546369514783745,0.3165017085150424
operator,0.27268662603372756,0.23947820540807163,0.2738031282838793,0.24649638326772003,0.2676553937012734,0.4057754006217712,0.26688817864511205,0.1350395578297051,0.4602512607165968,0.4559731402313358
real,0.30269536642622663,0.2276039352776619,0.23304978315146388,0.3895240850355186,0.21798416260966266,0.3186787338320719,0.23144380270943002,0.27798747135290025,0.29633995688249337,0.37717250035573857
agitate,0.2429328476621543,0.21338067422603357,0.24259495242414889,0.3312007197007592,0.29428618097372583,0.20889315555630641,0.3293949413457302,0.26107790078668164,0.38487560785075625,0.39455205492348694
card,0.2734186377718618,0.1951127924359084,0.2802178544500451,0.18986051288827913,0.3478491874001787,0.32575779065953603,0.23131096169081633,0.3279389182176897,0.3042610999471792,0.34891094993799676
tht,0.3792440356765345,0.35248798373432855,0.3268015105975664,0.38822393591626014,0.17389268649155748,0.3813822205580067,0.44647350027982524,0.27385222924088914,0.4054049841153554,0.48854982739567887
peculiar,0.23466910579233588,0.268941016742054,0.24703740428836643,0.29884312677918473,0.2972735686616977,0.269853527349477,0.6007750823716275,0.26236457746968306,0.43879017794926767,0.40165734541594483
dandy,0.2585240425717101,0.3386700810036286,0.22195207994445215,0.18622787301239513,0.3543003993641477,0.31644546233589804,0.43858109158371966,0.3343292539803057,0.4957837551631158,0.4171226615323503
lover,0.4377615002579564,0.12313922788344357,0.28768041072999684,0.2854431067773547,0.41011900643159366,0.267358887600927,0.3360940596924288,0.3172968876080655,0.24411976199221921,0.3734916354417644
activate,0.1678046784985095,0.22268166839943174,0.28150275884956605,0.18099907349668584,0.42480121121304026,0.31056034781137465,0.39212298503785115,0.32381094201671823,0.26519338562659345,0.21780348799881522
sashmi,0.43961830712178984,0.30725791243496553,0.6309931985325788,0.3041603660381672,0.3226529718689133,0.25568933505327596,0.38757790408349624,0.39069016082124863,0.29574597001560915,0.4045027511935897
frape,0.2116825797801119,0.3238638222045361,0.22491101078621065,0.24272321108570796,0.4604959871534222,0.31974458297258845,0.3275527992323028,0.2953675170658482,0.31758697968203464,0.3526621189113458
flavoring,0.38318692687509137,0.20939519530228726,0.12785313108161236,0.30442989478099924,0.39782539894707564,0.055512429490376505,0.3405630800372809,0.38581188229804403,0.2476342005312006,0.31269938854875096
briefly,0.19235070586502456,0.2122870218473779,0.22556127243350255,0.2034072391133575,0.3898598553591737,0.301113132115595,0.46673684402433063,0.25933109602693505,0.4616537971413199,0.27219451418504576
sat,0.29710304673265475,0.18608098705935172,0.276025196005968,0.26729675987805673,0.20423042133350464,0.26000599225023335,0.15433071960827816,0.3887017634172414,0.4449739082711409,0.3962469243322443
argent,0.23156719694444983,0.3052401889084732,0.19574369528773133,0.23198734691438863,0.29057348779053166,0.475251182056124,0.4985767726289898,0.38785487089544235,0.2945075378779634,0.4648941392249966
broken,0.20803379640484412,0.1538924137122794,0.15179505526257323,0.32340024750122914,0.1829005689570472,0.3755429339971559,0.36787448176476617,0.27185675652133096,0.37706882447942314,0.43374837898478014
sol,0.4102393338676101,0.3252802216679154,0.38426235239400675,0.22714503180642037,0.2442584399936399,0.45346923786666005,0.4297520542977043,0.2780575347780133,0.5554030007414104,0.4002225369660163
udon,0.42311334306262616,0.20405366580814302,0.4547530104883637,0.43112057826761785,0.35866609519050346,0.36107982440728886,0.34652178580023435,0.3958941407423599,0.3004519614780068,0.2545279436904912
diming,0.3380644443566452,0.17260230533456927,0.41017102495799823,0.24369526686402143,0.2871993558658708,0.4595443798452133,0.2954406932588571,0.2802847297169941,0.38707327914932543,0.37931469085929204
rapidement,0.31474780023605703,0.2840641936005731,0.3528372476271568,0.3645398298287505,0.39242015229825433,0.4290326402331022,0.4201668411739563,0.38394914944663344,0.3929104450438191,0.39473741682763125
protein,0.3866876021839643,0.3570618704756081,0.3592787530662411,0.31440121274238075,0.3517183014813768,0.20143803848613737,0.2742615964894529,0.4248303830358819,0.17796071250582696,0.28749910367370696
albacore,0.3751272350388982,0.27379563884379343,0.4728622906897528,0.1773336025913307,0.30019420834441113,0.14651750701940985,0.25971662651862787,0.42055967755455265,0.31815932250521917,0.45432121517884877
mis,0.4050646730637326,0.21206376047602257,0.3244568721259111,0.29650228534156137,0.2084334866044492,0.35237774734524163,0.363201609552105,0.250443968080263,0.4245140813370901,0.39398740798892673
tantrum,0.17272233237586376,0.19976305198516553,0.2607611347217563,0.3072417378879917,0.13341498774036098,0.36219489243489233,0.378164428398694,0.2935632233711802,0.38330850911257586,0.2778636425260277
prank,0.24525137383235499,0.30244397564289555,0.3599055059565762,0.36555214969920685,0.250954433757775,0.48213053256332034,0.4192739023294856,0.22366774326123623,0.5844293374856292,0.3211890604774159
retrospect,0.2579959968632542,0.3916795730829306,0.23153085086782763,0.23657578330052062,0.22009142195278453,0.281542962713916,0.41653674931520834,0.28624742765391414,0.3451870130159826,0.3650606487863003
comfort_food,0.2982465187060661,0.38151448733781484,0.19337031227471294,0.43394863082806046,0.2998999918098399,0.17308957564714333,0.39191911382071765,0.3792500132159709,0.3487838593693155,0.3560951222982736
audience,0.2362044169089621,0.26319691939219647,0.32845723682920636,0.3989178676845346,0.24040425098392498,0.19009190420855823,0.4505087631226808,0.30992498928192824,0.4386838354185902,0.42707274746487894
messy,0.37258992297651566,0.44725208479737477,0.22709821281606557,0.29027418230508545,0.20915668114054087,0.043217719847107386,0.4267851881449002,0.27669525435087483,0.29560579940391124,0.3776417642555264
bastard,0.25480692504788427,0.3419041578059748,0.2144852933808676,0.23357432777828657,0.2140715929512924,0.3059345572440611,0.3361695893804061,0.3135317302173269,0.37258717120498425,0.3437018321146245
interfere,0.26283800672934227,0.24071938153140354,0.20713232400885143,0.25184187526731455,0.36877367210660084,0.31128116278260437,0.3998424432718051,0.20880706860274,0.45520936802666156,0.37157176547434134
workout,0.2484413085542675,0.37200489548159055,0.31471247088849086,0.3214764702767224,0.30647160062622786,0.2642476947023139,0.17263415571735014,0.5179332803724378,0.41258954520453617,0.249309807950197
interruption,0.23776663043647622,0.24228169678840708,0.2835979489217962,0.2569667394655932,0.2796619305314361,0.38609322223636244,0.4737964698707781,0.2940139338198111,0.37801972890463503,0.3459696131049129
soften,0.17340954747478185,0.23335090468332068,0.21221794159161234,0.188622932356245,0.3967855341238085,0.2650262608419414,0.5533436341304587,0.3625654027197774,0.24777728683229,0.3657944227993821
mercedes,0.24843830102074543,0.40135047079611696,0.2724427287245484,0.22640330350403504,0.33339661564097844,0.538062437214974,0.2906496527314659,0.12726953866851556,0.38664770279877914,0.41072531334690704
previously,0.08283743613818065,0.24689680698286748,0.25066617855579887,0.26443666381674985,0.2619053222824396,0.2834078418257625,0.2895780799138025,0.21214611761612498,0.4177507551280288,0.46747807866337565
amaro,0.2493804094413678,0.2456496367550064,0.22345500258361034,0.20792668841755665,0.37182262566977076,0.4383808580053685,0.3579713211842819,0.3331060360931589,0.45874606777012117,0.2643249707940164
vehicle,0.3162122901075641,0.1766165317355179,0.20631744182479922,0.25520258449117983,0.3517289726343725,0.33332458058689257,0.14470218802530593,0.1547204241347152,0.3296773259825155,0.3185779425227422
veggie_tempura,0.37432799306212555,0.25474087453262195,0.5844819746076836,0.4247949654506236,0.330304749719359,0.2520683147002281,0.2438260090513747,0.4071312941338811,0.25029515849115475,0.317497616502161
neglectful,0.30335991866564355,0.2782498256203249,0.2853031533043626,0.2921311613992898,0.2075561345260615,0.3641309384159346,0.5419490432608634,0.2966934526746738,0.44998999441036763,0.23416342219968472
rejoice,0.3049909471912429,0.19375059173606943,0.2963875513671632,0.27087744562808336,0.42715366544975786,0.19023660736528392,0.2320491620855251,0.2976380863602727,0.2443998391578623,0.3333415564638145
loose,0.33784989292479545,0.2395994899513091,0.36577579951518824,0.3114626404912225,0.3358658136522076,0.2849072982196141,0.381461186359125,0.22622461612677136,0.245402378004933,0.3517537178639477
