,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
memory,0.326073482221098,0.16884183200829161,0.2748548830048032,0.31824198426568445,0.26959427384472023,0.33581535935510687,0.4056971496801043,0.3324745990636197,0.3909545119998797,0.27972959243586254
gastronomic,0.3270634593454621,0.23932252598895948,0.2822213316250538,0.2884655608735414,0.27413604434268496,0.2719583044199168,0.26968654142916065,0.22918865787764775,0.133859196822499,0.35503952961255136
manicure,0.20881478444017815,0.15848666564101818,0.1994028626958486,0.23414577161951955,0.37009063425410843,0.31988292879293473,0.406628404455685,0.28843408500904055,0.35098512077542526,0.2680286890358912
pointless,0.3022408943741349,0.35268349934366194,0.2403867560860799,0.3169909201935567,0.24186375850497335,0.3654629804407144,0.35009499403220984,0.27730813049227665,0.36708621430516897,0.4418921458522799
frangria,0.3450081463405926,0.34276588514060075,0.14408796430713544,0.2550122486922411,0.409222306999117,0.422299907556722,0.4178501304623891,0.318603900600637,0.4413445296689432,0.3924007213843978
freshness,0.38550546495587956,0.20428433815600963,0.4629947635681111,0.31648171580047557,0.25423791366403614,0.19936471064664774,0.38274402059861146,0.26727554168483497,0.3015709501067823,0.30995736529797274
meager,0.35891335273121233,0.1844790158745406,0.2943553738856725,0.22457875131530167,0.39669292926185007,0.2526526172126046,0.5577301663618952,0.3227083589001092,0.45855963919273895,0.4043580024171604
zip,0.329942981854599,0.29046056808599063,0.2057510213786609,0.26356866641713306,0.2753183190200076,0.24120705752314606,0.30573073126729666,0.29296306984352477,0.4304706127254967,0.33929294989417463
chewiness,0.3399808461870165,0.20762101140743125,0.23088462283460817,0.34427018933510073,0.33817014871844897,0.33117648226977703,0.47247392917002257,0.4619511403761984,0.3333838268924969,0.3371109682987256
minimum_wage,0.24458410963185634,0.36380016514436936,0.3325499765341437,0.43960154836841936,0.2914221744521806,0.36076313795186565,0.31174706640277566,0.150817467720838,0.43636563625041974,0.44917881817327154
krispie,0.2018993999887065,0.21372701966013574,0.23008678482157036,0.1341472639613904,0.33386065877452253,0.21570990007270993,0.35183844108472917,0.3306087984109731,0.2734140410604625,0.3766467796316844
cub,0.2822441383643478,0.3294700479696619,0.19325280874017328,0.2256952479009189,0.2665480724786562,0.398722176237673,0.36748411578568657,0.4001579179296784,0.40053387891666004,0.42351997814722253
international,0.31075364553236434,0.2248409212319592,0.20572449503482118,0.35367153827373565,0.3207239252602888,0.42636224528315514,0.31758710847514676,0.09704848117575425,0.26305707298792536,0.421664093132076
dissapointe,0.4056868848178388,0.24052996235453877,0.2130737562722303,0.3013552159635175,0.35565628400243665,0.4089513265467632,0.4493776878680621,0.40647811941044687,0.36820210934883707,0.38098104084128526
hardcore,0.2775666463026262,0.4020576578270668,0.3279673327218883,0.24619881098572677,0.26754570154651647,0.47109706640445004,0.3612437478358172,0.3873989733689142,0.4914726317019813,0.43248469702719683
commonly,0.38423322871963783,0.3045812282826611,0.3359474913263298,0.4308159643810817,0.33382343069664006,0.4010678427056314,0.5380116733846528,0.46805850818627476,0.29938828067650436,0.42237896077990955
pizza_pizza,0.23117612074856356,0.3844026151867562,0.31251219132197683,0.40234623952169435,0.2787021713417757,0.32593543947561976,0.30163126170810456,0.208730490565764,0.30384909771979135,0.46861925608838384
creamsicle,0.26844835150469637,0.2827752274106,0.24742169065006558,0.22210092739587295,0.5155984792151411,0.33203206677523756,0.34866165905503876,0.25153190379599866,0.3253166939542659,0.4109145453680806
hostess,0.2380202339481309,0.2826773940615432,0.28735481876316854,0.3257712269524228,0.40251361003173625,0.37597423306392735,0.3040176571609659,0.28678865410504645,0.34467016079076934,0.2715274320686169
uninvited,0.2498949230366405,0.17245759329640373,0.24843002165175654,0.2734238913992979,0.2129805340777791,0.3525206310341729,0.32270674586955955,0.2430468771325086,0.37924726773935774,0.3468070242789821
wolfgang,0.2845233147304628,0.39361581099467596,0.29589457351929394,0.2443384086388497,0.30682787615770335,0.5039571119109113,0.38289866961828384,0.20075919942461787,0.37898008619334367,0.36258697528559247
mcdonalds,0.22565376643216845,0.4943795200070497,0.24423594278385086,0.31193739702232615,0.2013607665528181,0.27676600362032855,0.24000471591593897,0.2511419160479583,0.3860983647403839,0.3412908532858167
zuppa,0.4361487543979987,0.2504425653163051,0.21533816037611908,0.25782757116842664,0.3510789697593793,0.5836902484541185,0.47362969017632756,0.40792112595788305,0.3468004719130384,0.35208750631145563
abruptly,0.2577441557068295,0.19276013788092844,0.2839590110703941,0.3167739798323898,0.31192650599067673,0.4016695299479707,0.3443576100077438,0.2330955224971594,0.43077957332171835,0.3085401158418234
hotspot,0.3571945519491186,0.2771679384114345,0.29899198082119255,0.2683380054213985,0.3329719632364287,0.3355680975319506,0.3310213751004943,0.19672347816891178,0.3374957994022993,0.3823203514743901
patio,0.2932172562214486,0.28460433359434684,0.1831393469696702,0.19637526988230122,0.3292073339044339,0.25911912774241247,0.25760017771804655,0.20493360477770442,0.27922729999926105,0.202241789513727
crow,0.40043486117174937,0.2782765728042612,0.36207158032727066,0.3546097195691376,0.3168165005090806,0.42269161952366524,0.48343530522130496,0.39908283962044333,0.5814025624136541,0.48372368783403713
jojo,0.31494080825783793,0.31812542206549477,0.3153742784390066,0.233857729604997,0.3507533929811541,0.47929881577547095,0.4585920228729815,0.40809852126670737,0.5471579680825611,0.3078422004753884
