,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
memory,0.34152669621233617,0.19614890025784198,0.25569800282209304,0.3437888046035948,0.25097494591602076,0.29991972343482737,0.40774377238430337,0.32758443579842217,0.3935083336825886,0.28619745883203235
gastronomic,0.3774679809968946,0.26024505457944286,0.36743947021115,0.37199115372709096,0.4199565278968565,0.3236039699141876,0.34239347913519547,0.24230723845501217,0.10291328962373035,0.46388298060948874
manicure,0.19123559384536615,0.21572336404808956,0.1958198366075385,0.29373818532298823,0.4577937348677335,0.2998778187273094,0.4643048081184386,0.3126844911450397,0.3624841129817693,0.2929848828781579
pointless,0.2626167451763089,0.39917479046763377,0.3527216328776838,0.39385835296307253,0.24390389562280587,0.2929415214132979,0.2737836728363746,0.21708293777632293,0.29281405873097544,0.43001988481856357
frangria,0.34785525066428713,0.34696168773701486,0.14213466748123432,0.28277330536775885,0.48751491184316853,0.36625880047436654,0.36577593054893204,0.2730912152700924,0.39667808310722874,0.47666688059112966
freshness,0.36875975569471925,0.2025453169668507,0.5379606578409015,0.29997188408536907,0.24427369882971647,0.14663291825704197,0.410744961551984,0.2791301957223592,0.2694085774058012,0.33620960734821326
meager,0.3492138668897444,0.13578241233796196,0.33460553511338165,0.1788369302904651,0.42580122488527533,0.16678908971326398,0.47664724468538083,0.2655436513899659,0.35915056622142644,0.37380644833656
zip,0.3368186007811568,0.2675045956002347,0.16333472351907458,0.21671970485993947,0.328667351280834,0.17049002087957768,0.23255996269237458,0.23754139945976652,0.3807920901351794,0.3153372292465404
chewiness,0.32798082785534655,0.18020179194154076,0.21204943121117706,0.3958297499278828,0.4559221296326736,0.25340716502125277,0.43348763478166374,0.5042137717873373,0.2575253186607551,0.3308249867021608
minimum_wage,0.19259815806221797,0.3852106924366016,0.3204910384573057,0.41700301883506774,0.30879224349394185,0.32069186777844116,0.25778847725823445,0.10402666596313535,0.44321338057729115,0.41836345162731564
krispie,0.17595590356826005,0.21699904513722654,0.35305938547768256,0.14878649433559493,0.4154068013547287,0.1649441808333765,0.34951006530495105,0.4109217806053415,0.2369162123968689,0.4733947311717071
cub,0.27497631832719577,0.2783829077210936,0.2821068178836726,0.27708685792449156,0.2731045039526485,0.3202938960333512,0.28437560638948906,0.3513553971982947,0.32184535190363733,0.4420254245661846
international,0.2888716014783691,0.209038999705318,0.18864164088540797,0.40280974033029937,0.33921224304945896,0.4314487196804499,0.2749020170542691,0.06222932957845547,0.20614656310749577,0.4886679657086775
dissapointe,0.5533211464755161,0.3259384980634711,0.2157860411261814,0.32008057786481675,0.39194561396033945,0.3173768546151525,0.36347148390123374,0.43922311575173234,0.27895361801909285,0.4434249515498693
hardcore,0.22415729154692626,0.43415069677319346,0.3530374167665306,0.2273314137729569,0.23396141057897576,0.43540189322207073,0.2883275041903274,0.40044542886285045,0.45995221443691275,0.39154697218908036
commonly,0.3549589740433604,0.2961432628544566,0.3773833726901322,0.45413413952475773,0.33283087396962785,0.28982894087801275,0.4385680553417484,0.47082800902539274,0.20162648865334246,0.40480836461129927
pizza_pizza,0.17142166250412513,0.3688511002439112,0.2383356888091796,0.32866812196509965,0.24751405321989753,0.3300614803882091,0.2988927990596938,0.1570969097961576,0.2949482855376365,0.41422367704574636
creamsicle,0.2232063680739472,0.27685886133589455,0.29426024728356265,0.23079463073215026,0.5663704833106546,0.28687522392520287,0.30840530578903236,0.19812434946686755,0.2803613365465761,0.4848109090084857
hostess,0.1876279183551558,0.29060675526870644,0.356420592417969,0.32034148806945334,0.3288656104316064,0.3815600356501868,0.27496374678624586,0.2722409128987427,0.3321137624926886,0.2961137281691726
uninvited,0.25450451117845146,0.173892979388269,0.35885919582696,0.3948870849649484,0.27420048805538083,0.3837744995251363,0.3346502173159411,0.24545078692022324,0.47455676100106975,0.38390581501159105
wolfgang,0.25680644303286176,0.3975645136219462,0.31225917607569,0.2546945636382914,0.3082538063561556,0.5559588001052743,0.3371855565735564,0.14791084523849204,0.3398280154756258,0.3637493090274949
mcdonalds,0.19528572138949313,0.5040235639151353,0.2980275572846903,0.32378146687759457,0.20171177029168788,0.24594472334620923,0.20206116373348335,0.2195484902188554,0.46325040817535057,0.3387287362219332
zuppa,0.5585656524929441,0.23349689183519348,0.23424081024757915,0.2891498856932564,0.34370244867252986,0.47200893315159437,0.3513663787012306,0.38713811626026023,0.23794784240342762,0.3467435175946877
abruptly,0.2178334713356073,0.2588622159448107,0.3810836474076101,0.3394073022883488,0.33522016365182405,0.38253129130255786,0.3045696695651706,0.18443313548428153,0.4412382348619938,0.2744973801813521
hotspot,0.40123130039747595,0.28221747855264323,0.3698736987481824,0.24405010361683094,0.33480031099344687,0.29481601897822807,0.2886470573220317,0.15500570286598944,0.30662399748250496,0.48992734395409027
patio,0.2710667955369097,0.2876764999004098,0.2568385469978916,0.23757858753804595,0.3386988700023587,0.2623093728741341,0.2641893411934079,0.17750860109045538,0.2974781705217369,0.2904192455403111
crow,0.4012107471598412,0.23938455795116734,0.4466107330507853,0.4018819708962218,0.27834288265670204,0.2968176704538996,0.3519321714053065,0.3321172504409922,0.453254690136619,0.49383656472399445
jojo,0.2797484264523539,0.3431608179271397,0.4612691126004807,0.21058886391680595,0.33097504276359946,0.363482021187679,0.3402017825815484,0.38618655495313403,0.4399542352746334,0.26618533712397835
blame,0.26745060244993335,0.3024937733352423,0.22980415716346894,0.26538439796999125,0.28256509176029726,0.36438814418767207,0.25580350747250735,0.18016961032442722,0.3996583871113154,0.18298427731354003
tmi,0.3208677994322686,0.2892159809813783,0.3019632054299789,0.29111673462550997,0.19711512350721228,0.38195518227191333,0.2227159445014047,0.4392025270566426,0.6035280447770879,0.2510666948355438
buster,0.31532985240224803,0.26582153220597143,0.27831291401806396,0.17124132181237553,0.36348538992123036,0.25957786019785783,0.33680372344154513,0.29768507637349156,0.5764590948446008,0.32746036914023335
excellently,0.4139530951454969,0.2832337321190424,0.19286821109012608,0.25429438689144096,0.322977105384054,0.19991952584929967,0.5873474170190148,0.4442273055662648,0.2949763524218524,0.44218407521536823
ceo,0.288558794522638,0.3476165131111897,0.14728422188177423,0.14203314927497773,0.3031571199303096,0.516334669266397,0.25906693741763054,0.2650279850673294,0.5261193178200242,0.3175120489640351
douchebag,0.3252960025043189,0.3400769321840485,0.32579358485811594,0.3309515256718113,0.26781254581528613,0.40731076032606583,0.639356831598871,0.2713058290731199,0.2927698152828076,0.38271520476278215
shrivel,0.28944831600321025,0.35664180811906104,0.288421581320891,0.2501744660452918,0.3205583916434863,0.2788569521039819,0.37759152350477804,0.4531551723770988,0.16693443447544598,0.3141535037303473
operator,0.2653019173024016,0.2327778602331715,0.28993843486236637,0.24866658916325565,0.26822862409035403,0.39342053752079814,0.24921226166022342,0.12317687973276234,0.4528087320384023,0.47015436574380676
real,0.31817791887053365,0.22738966441185954,0.23344360531113506,0.3968951770434053,0.22340781653770364,0.32469789085120143,0.22540740726852287,0.27522215994545385,0.2977870423101341,0.3803660302465787
agitate,0.24125475762448045,0.2188034553088767,0.2883895727776558,0.35446225558422056,0.31353994843897565,0.196345489027384,0.325038829896801,0.2568903596816619,0.3884577585662663,0.3990430145098985
card,0.2709364564750527,0.19006089676423993,0.2815505707929357,0.18009998701695362,0.36074361046648,0.3146168009063894,0.21597264023381102,0.3263489526409347,0.2924468612225477,0.35691118254917437
tht,0.39909112479218395,0.3770739287151165,0.37418788587624235,0.4358747897474682,0.17235125340613522,0.3830048833569812,0.4591331229860178,0.2700621750504396,0.4123477655560795,0.5152080556462418
peculiar,0.22250098947830702,0.2595437658135616,0.24852974228524416,0.2919976820003451,0.28842629958837973,0.24571848325056195,0.5894630192417689,0.2454273321345416,0.41604352680839135,0.39509429170093374
dandy,0.26632601612163803,0.35206890059682205,0.2347938713928277,0.18596610614553655,0.39136137749653055,0.305636465140386,0.4405039221629252,0.33740634365161803,0.5074366897100917,0.4301481420344098
lover,0.4523635063233114,0.11495979329496246,0.2948690232187461,0.28445552537460594,0.42016753635025555,0.25551239943422127,0.32893141543646587,0.3103763299299733,0.23065718338781463,0.38087213257406705
activate,0.15534369882977742,0.2110960078799454,0.32275729922138313,0.18453564549596813,0.4494249066446238,0.29191439471610314,0.37724135724726243,0.31744052335758777,0.2459128355184802,0.20401752359524764
sashmi,0.4507144796858854,0.3123175011277117,0.7591038743252079,0.31151861413163856,0.31781302351567214,0.23122797140759327,0.3614392800289868,0.3883155982831767,0.27062368324210045,0.4074992576754276
