,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
memory,0.3262812028367996,0.16985949079195262,0.2753433719081052,0.31878802754544366,0.27006401902755106,0.337356218332462,0.40570034186184945,0.33249779880677544,0.3909596537298797,0.2797741270717999
gastronomic,0.32887659007447384,0.2398031008269702,0.28699263085337173,0.29303092206201814,0.2848349864525306,0.27411547209024356,0.27349661803309006,0.2293975765285734,0.13805838372047022,0.3611860242925299
manicure,0.20937575740920805,0.16201666101446047,0.19942377768618155,0.23716108290930046,0.37433436151253585,0.3203328665554672,0.40857842586063275,0.28897311620901445,0.3510951340230357,0.26863281123880617
pointless,0.30446669275336846,0.3541699546235393,0.24820771142457038,0.3207648563461995,0.24186904135160375,0.3730077999620293,0.359410421499505,0.2846128592339839,0.37506646409174754,0.4419978214606413
frangria,0.3450153617978421,0.34278152741860607,0.14409648381535883,0.255775728490314,0.4125093227605629,0.4255005007912214,0.4205820252147712,0.32148239217916685,0.4431333745536618,0.39622573140761874
freshness,0.38575565110511134,0.20428904942280918,0.4657908426701631,0.3167839826063388,0.2543709342971529,0.20867383238416895,0.38329682976576296,0.267425572643043,0.3029475686570745,0.3105445178793129
meager,0.35900022566156115,0.19303987623579572,0.2956789130448039,0.22954854430707744,0.39726908150846946,0.2808708316826843,0.5629867422347496,0.32766952585605325,0.4705788329678773,0.40521460742969045
zip,0.3299858496542972,0.29113958747306556,0.21045425496268638,0.26765619136671603,0.27757782794798075,0.256887870137718,0.316322796361543,0.2982975754859366,0.432825098720542,0.33991310855466395
chewiness,0.340123848996866,0.2091766518325659,0.2314633133713311,0.3460859356545372,0.3452963092610791,0.3420395155539634,0.473688305456904,0.4629593854908548,0.34338290201440663,0.3371491019107295
minimum_wage,0.25065742022431464,0.36414965179847925,0.33269793685950244,0.4400085404227002,0.2917089138463543,0.3625702185448323,0.3162661210370467,0.16274274595293048,0.43639812996765726,0.44995021684027
krispie,0.20331760717902725,0.21374217876592835,0.23912574002481496,0.1345506611099098,0.3378825570959154,0.22283004341000837,0.3518433248465123,0.33455633503295146,0.2755153654381553,0.38156995370616625
cub,0.28230598683860586,0.3331023432637778,0.19939592784521046,0.2281191263563204,0.26659595357634636,0.40676420233077265,0.3783182190419244,0.40264542549434995,0.40858644363736996,0.4237510007358347
international,0.3113183492548226,0.22524779841173156,0.20626066650886443,0.3553070648385404,0.3210202157586151,0.42638073813412025,0.3200677839669562,0.1107042609200808,0.2699133453366006,0.4241291898985895
dissapointe,0.414827615931831,0.24575170194923743,0.21308426056262864,0.301675891448467,0.35660335393324366,0.42067785542143904,0.4577868592984632,0.40718011282714023,0.3814379225566081,0.38333081283823484
